"","Author","Title","Text"
"11","SofTiFrankfurt (Oder), Deutschland","Berlin Global or Global Berlin?","I am usually not a big fan of exhibitions however what quite surprised me was the interactive character of the exhibition. I imagine it is more appealing to a lot of people that way. The globality in “Berlin Global” or more likely the diversity of the exhibition is, as one would expect, mostly represented through Berlin’s history. As someone rather unknowledgeable about cultural differences even to me it felt a lot like the ‘globality’ was focused quite a lot on the differences between the Eastern and Western part of Berlin. In the brochure of the exhibition it says ‘What has been spread from Berlin to the world?’ and perhaps I was not paying close enough attention to it as I had to rush through the last part but to me personally I am a bit confused about the purpose of the exhibition. Is it supposed to show how globality has influenced the city and the citizens or what influence Berlin has had on globality or as the brochure said what has been spread to the world from Berlin? For me the most globality could be seen in the very first room with the big mural, which has a bit of a negative feeling to it as a lot of the mural was depicting historical events from a European perspective.I am not very well-versed in artsy matters so it took me some time to understand what many of the depictions were supposed to represent. Some screen close to the gates to the next room helped me a lot in that regard because I have always had some trouble interpreting a deeper meaning to illustrations while looking at them on my own and I didn't really have someone to discuss it with either. An example is the how some former big world leaders decide about how to split territorial rights of specific regions amongst them as if they were a piece of cake. After some initial hesitation I thought it to actually be a quite accurate depiction of this very situation of the colonial past. On a happier note two parts of the mural depict possible future scenarios. On the one hand there are the broken chains being shown in between multiple parts of the mural indicating that the present is still chained and influenced by the colonial past but encouraging humanity to break free from those chains through communication and taking the initiative to change something. On the other hand there is the world surrounded by clasping hands, a dove potentially symbolizing freedom showing that if humans were working together and being on eye-level instead of one party looking down on another out of a false sense of superiority, real change might possibly be achieved."
"12","Taha Y","A journey through time with Berlin","I've lived in Berlin all my life, but I've never had the opportunity to visit ""Berlin Global"".  I really regret it, because I got a very good overview of Berlin and all of its sides, which was very enriching for me.  I want to go into 2 different topics in my review.  First of all, how globality is represented in ""Berlin Global"" and also how the colonial past is represented in Room 1.  Berlin Global tries to represent the world with its different cultures and ethnic groups.  The coexistence of people should be portrayed as peacefully as possible.  The graffiti show impressions of oppression, war and grief that have divided people in the past.  Especially in the 1st room you can see this clarification based on the numerous graffiti that are on the walls.  The world should be a place for everyone, according to the artists.  In the 3rd room you can see the revolutionary movements of the past, showing people who fought for peace and stood for solidarity. the colonial past still shapes people today. It is one of the main reasons why a city like Berlin, for example, is very multicultural to this day.  From the graffiti on the walls you can see how people suffered and lived their lives with war and weapons.  However, they left the hurry that has shaped today's Germany.  Music, culture, food and much more from other ethnic groups are very present in Berlin and belong to the city just like the locals. I would recommend this exhibition to everyone, including anyone who grew up here.  It's like a journey through time of Berlin's history that gives you different insights of all kinds."
"13","Nikol H","Satirical","This exibition gives you the right keys for thinking about Berlin problems and colonialism in general.While entering the main gate of Humbolt Forum i was questioning myself, was i entering the real subject of discussions for it's diversity and inclusivity or a part of a history left behind?The first room (where the kind exhibition worker explained us how to use our bracelets) greeted us with a satirical note. The topics such as ""Colonial hubris, ""Divison of Africa"", ""Genocide of the Hetero and Nama"", ""Charting human beings""joined together on the main walls as an art work in a casual environment. The message was clear: ""We are all world citizens, ideas and experience should be exchanged""."
"14","Tim D","An interesting but somber look at Berlin and Germany from a global perspective","The Berlin Global exhibition takes a look at Berlin from a global perspective, focussing on art, culture, history and social matters such as racism and gender. It features many interesting historical objects such as paintings, photographs, protest signs from demonstrations, old maps and advertisements and everyday objects of interesting historical figures. However, as interesting as the selection of topics and objects is, I couldn’t help but feel like the exhibition paints a generally negative image of globality, as exemplified by the first room “Weltdenken”, whose dimly lit walls are covered in a somber-coloured mural depicting scenes of violence, pollution and chaos from the colonial era. The subjects of colonialism and racism appear again and again, for example in a 20 minute film featuring actors of colour born in Germany, describing their experience with stereotypical portrayals of Africans in the Nazi era movie industry as well as todays racism in social media and everyday life. Arguably global success-stories such as international trade or the international organisations aren’t addressed by the exhibition at all. A silver lining however is drawn by a room depicting the political and social progress made in different areas such as religious freedom or gender equality; and another room I found particularly interesting is mainly focussing on different cultures in Berlin and contains a collection of posters advertising concerts by numerous internationally acclaimed artists such as David Bowie or the Beach Boys. A hint of positivity was also added in the mural of the first room in which the artists added white doves shattering chains and a bunch of hands reaching out for each other across planet Earth, which I interpret as expressing the artists' hope that the globality of the past, constituted by violence and exploitation, is replaced by a globality of peace and cooperation. Furthermore, there is an interactive element to the exhibition inasmuch as the visitor is asked to use a digital wristband to answer questions or choose between statements by interacting with the screens or by walking through certain doors. An evaluation of the visitors dominating values is printed at the end of the exhibition. As creative and refreshing the idea is, I can’t help but feel that the reductive and often dualistic choices one has to choose between make it questionable whether the end result is meaningful at all. All in all, I still enjoyed the visit. As someone well-versed in history, by focussing on cultural and social developments, the exhibition brought themes and issues to my mind I wouldn't normally research and thus broadened my horizon. I would recommend a visit, but not without pleading to not let the somber beginnings of globality, namely colonialism and imperialism, overshadow the chances of a more interconnected world."
"15","Hammad Jillani","Innovation","While the exhibition was tremendous event a person can visit and learn more about things in depth as it is very informative. While the concept that I perceived was that how much changes we have brought into this world in every aspects whether its music, culture, technology etc. I was getting the vibe that being innovative is the best thing and making things as better as possible because at the end hard work pays off and the world will benefit out of it.  It also tells you about the history including the era of colonization and the after effects of it and that depicted me that either you have to work hard to get on the top or you become a slave."
"16","Kamila Z","Where past and present meet","The focus of this exhibition is clearly set on Berlin and the way it evolved throughout the years. The development of the metropolis is depicted from various perspectives. An undeniable advantage of the exhibition is the intergration of new technologies, which makes the visit to Berlin Global interactive and even more captivating. A recurring theme that one can observe in the exhibition is globality - how it impacted Berlin and, at the same time, how Berlin influenced the world. The whole exhibition is divided into several rooms, each of them showcasing a different aspect of the city, such as colonial times, war, entertainment or fashion. One exhibition room, i.e. ""Thinking The World"", presents  the world history with the means of a huge colorful graffitti, depiting  colonial times, how countries have been intertwined throughout centuries and other crucial historical events. The message behind the lively drawings is very saddening though - our world has been always a witness of greed, exploitation, killing and other atrocities that human race would commit.Global Berlin enables its visitors to dive into an interesting, at times suprising tale of the world's history (with a string focus on Berlin), an unforgettable experience enhanced by the new technologies."
"17","Tanzeel Z","Fancy yet with the traces of originality","I have been living near Berlin since more than three years but never had a chance to visit this Exhibition before. It was my first time and it was totally worth it. Berlin is a city with an unbelievable blend of rich history, diversity and serenity. A true depiction of such a mix in form of an exhibition is same like ""Fitting an ocean into the cup"" but ""Berlin Global"" is near to exception in this regard. A few hours in this exhibition already shows you amazing glimpses of historic moments, fashion, music and overall ""Berliner"" vibe. I also liked this graffiti where the colonial past is portrayed in the form of beautiful arts. These colorful drawings not only give us a lesson of history but also carry a strong message of freedom within them. I would highly recommend this exhibition even if you are not a big fan of exhibitions and museums (Just like me) as this one is different just as the Berlin is ;)"
"18","B. OttoWelt","Good overview but thats about it","For me the “Global” part was actually kind of missing. The whole exhibition seemed to me more like Berlin in contemporary history until today. In my opinion the music and culture section was a bit pointless. I mean yes… hip hop came up in the 80’s and was a big thing in Germany and Berlin but where in the world did it not become a trend. To me that doesn’t seem to be very special/unique. Therefore I’d rather recommend the Movie “B-Movie” which actually talks about culture and scene in Berlin and also focuses on it being one of the places to be during the 70’s and 80’s Time.Overall the topics were very interesting and surely Berlin did have a big impact on the global world but unfortunately in my opinion fails to thoroughly bring up these impacts. Maybe it’s worth a trip if you don’t really know a lot about it but history fans will know most of the information already. On the other hand the first room which has a big mural is quite cool and makes a lot of connections between colonial history and the postcolonial world. Bringing up topics like the development of medicine which advanced a lot through human rights violations in the past. In retrospective would’ve liked to see more like the first room which left space for a lot of interpretation unlike the rest of the exhibition that seemed a little too superficial to me trying to cover to many aspects of the history."
"19","Vladimir Pankratev","Globality and colonial past","The exibition demonstrates that global challenges do not stop at borders. Military conflicts, migration, climate change from uncontrolled growth, environmental destruction, social injustice, human exploitation and limited resources - these problems affect everyone. Solving them will require overcoming the world's divisions. Small details and big pictures, the local and the global, need to be viewed together. Global networks should form, and ideas and experience should be exchanged. We are all world citizens.The walls of the room 1 ""Weltdenken"" are coverd in paitings which illustrate the centuries of charting, dividing and ruling the world continuesly having effect to this day. They cannot simply be erased. But we should take initiative and attempt to throw off the chains of the past. Communication is the leitmotif of this call for liberation - we need to talk to one another!"
"20","Lenka S","Nice","Globality is presented through several aspects for which Berlin is so famous. These aspects are war, revolution, borders, fashion, free space, interconnection and entertainment. They are shortly introduced together in one room through photos taken in Berlin and short explanations of their meaning for the city. In addition, each aspect has its own room, which is dedicated to the topic and further discusses its connection to Berlin. To illustrate the globality of the city different approaches are taken. For instance, there are shown numerous photos and stories of members of ethnic groups living in Berlin, vintage posters of international musicians, who were performing in the city or comics depicting the ethnic influences on evolution of art and subculture in Berlin. The exhibition’s orientation on globality is also expressed in an attempt to get visitors involved by expressing their opinions through special wristbands. The wristbands enable to take part in voting about topics concerning future with regard to globality. There are also other interactive elements such as possibility to listen to old music recordings or personal stories of foreigners who have left their home countries and moved to Berlin.The graffiti shows events from the colonial times (e.g. Conquest of America, Berlin Conference) and their impact on people and environment. It portrays violent treatment of natives by colonizers and how these actions negatively affected culture (prejudices about other races) and nature (pollution). The Humboldt brothers are also incorporated in the composition. Their presence symbolizes science and its advancement, which is positive, but it also has a negative side, because this would be not possible without the support of colonialist. What’s more, the graffiti depicts the symbols of peace and connection, which should probably stand for peaceful solving of problems though cooperation and dialogue. To conclude, it's a nice exihibition, but I don't have a need to go there again."
"21","Riddhi Kawishwar","Sophisticated, Interactive & Innovative","The exhibition intricately captures the spirit of the capital city, Berlin, showcasing the various facets that the city is endowed with. It throws light on the significant events which occurred in the past, that in turn shaped the city into what it is today. Globality is represented via stories, graffiti and installations covering topics like Fashion, Free Space, Boundaries, Entertainment etc. These features attempt to depict the interconnection of Berlin with the rest of the world.The exhibition delicately encounters sensitive topics such War, Gender Identity and Revolution. It is indeed fascinating to have such a wonderful representation of history, cultures, divisions and interconnections that root from the colonial period. There are so many interesting aspects of the exhibition, but the ones that caught my eye were the time wheel and the space where you can put on headphones and dance to the retro-beats or so I would say! (maybe think of something like a silent disco). Another interesting thing about the exhibition is that it is highly interactive as it requires you to make choices at several instances and you can also present your opinions at certain points by voting which is facilitated by a wrist band provided to you at the beginning. The colonial past is depicted in the first room through graffiti, murals and installations that describe the significant events that occurred in the past. One can derive a clear picture of the devastating effects of wars and slave trade. Further, you also get insights into the revolutions in detail through videos from the colonial time that has today resulted in the unique essence of the city.Overall, the exhibition flawlessly displays the rich culture and diversity the city holds. I would highly recommend visiting Humboldt Forum and have this amazing experience."
"22","Stella HFrankfurt (Oder), Deutschland","good combination with technology. really recommand!","I really like the idea of this exhibition that use the technology, the watch and those creative design in every room, to let visitors interact with several topics. At first, I was amazed by the watch and the different languages they use in the system. At every entry of a room, one choice of two different thoughts about a topic needed to be done, which was not just interesting but made people to think about the topics. Through this exhibition, globality and diversity are everywhere. In the room “thinking of the world”, huge graffiti was all around the wall showing the history of colonial, the progress of technology and its effects and some symbols and words of other countries to express a wish to make the world a home or to make people from wherever to think about our own planet. The graffiti of colonial past unabashedly showed both the cruelty of colonization and its contribution to the world puzzle. Just like other topics, it shows the bright side, the ambitions and achievable powerful future of the European rulers, but also shows the dark side, the failed resistance and the treated-as-goods future of the colonized people.Besides the room “thinking of the world”, what captured my eyes was the room “free space” and “entertainment”. The former showed the changes, regards to culture, art and acceptance of cross gender, of berlin people. The latter was not just about those entertainment revolution, but involved the integration of people with different background and how they fighted for their right and the equality. This exhibition was truly meaningful and presented the globality and the diversity in Berlin."
"23","Moni","Modern and Interactive exhibition","The exhibition is very modern and tries to represent the connection around the world using different topics such as the history, art and much more.Right at the beginning everyone gets a bracelet that tracks which decision one is taking and that will be analyzed and compared to the other visitors at the end. The exhibition displays the development which was influenced by historical events all over the world and by people of different cultures.The exhibition shows the global effect without which Berlin probably wouldn’t be that multicultural and open-minded as it is today. There are videos of foreigners and people who seem to be different than others in some peoples eyes taking about how life was like for them being treated differently often with much hate and how it has changed over time. This shows how people who were outcasts once, became part of the society as society has changed in the past due to many influences and changes in peoples mind. This is one example, but there are much more illustrations of how globality had a positive impact. The exhibition represents how people of different ethnic groups and ages enjoy time together through music or events and creating new styles by combining various cultural influences. This impact of mixing different cultures also influenced many other sectors. The first room illustrates the colonial past using scenes where people are fighting and discovering new areas, but also displaying a mixture of cultures by showing things that are typical for these countries and putting them together. We can see blood and destruction, but on the other hand there are also a lot of doves and broken chains that initiate a change. Furthermore, this room shows us that the world should stick together and reach for peace. Seeing that, one can also interpret that they want to express that challenges and hard times can be overcome when cultures are combined and creating a better world where people help each other.I really liked the turning table which combines history with modern technology with the thought of connecting people. Each piece containing a year has to be loaded by putting the hands under the table. This is can be easily done, when more people are helping. By turning the table, a year can be chosen to learn more about the events of that particular year which will then be shown on a screen around the table. Although I usually avoid going to exhibitions, I would recommend going to Berlin Global, because it is different compared to other exhibitions."
"24","AlessandraNazare, Portugal","Deep, emotional exhibition","Berlin Global is a very deep, touching and interesting as well as modern exhibition at the Humbold Forum. It was not my first visit and yet new aspects keep catching my eye.  It shows how Berlin is connected to the world and people from all over the world come together and connect. The many different exhibits, of the individual artists, embody the globality to which the name ""Berlin Global"" draws attention. I do not want to reveal too much to let everyone his personal first impression, so just a little something as a foretaste to the first room: In room 1, the wall graffiti refers to historical events and symbols from different cultures. The entire 360° of the room shows what happened in the colonial past and also who had to suffer from it, like how inhabitants trying to defend themselves with wooden spears against metal"
"25","Göktuğ ŞengünBerlin, Deutschland","Informative and interesting","Berlin is a city located in the heart of Europe and it is unavoidable not to be affected by many cultures. In Berlin Global, Berlin’s past is represented with various items such as videos, pictures. There I found information which is not only about Berlin. I learned how people live their lives differently even in similar locations. In different times of the world.In Room 1, the mural graffiti refers to historical events, symbols from various cultures, the events that the whole world is affected by. It shows what was done in the colonial past. For example, it shows how underdeveloped nations try to fight against guns with their wooden spears. It also depicts the effects of colonialism on nature. Historical characters that have huge effects on today's society are drawn in this graffiti."
"26","Amr shahinWelt","Explained how Berlin became what it is.","Exhibition „Berlin Global“I can recommend with confidence the exhibition Berlin Global for anyone interested in comprehending the city’s and worlds history, culture and identity through a new angle. The interactive exhibition located in the Humboldt forum near Alexander Platz is easy to reach (by bike it took me 6 mins) and because of its interactive approach and innovative storytelling adequate for people of all ages. The idea of following your own path through the exhibition by making choices and selecting specific situations is very impressive and something I have never seen before. You can clearly see the globality of this exhibition through different work of art and graffities one that really caught my attention was “My revolution” which covered major revolutionary events in the modern history like the Arab Spring revolutions.Throughout all rooms of the exhibition the observer is confronted with different topics that animate to question the positive and negative parts of globalization (not only specifically in berlin, but in the world) and if the city is as border-less, free and interconnected as it appears at first glance. For example, there is a large graffiti deals with many different subjects seen in the exhibition: from terrible events that shaped Europe such as the colonization racism & the realities of wars, to early scientific research and the relationship between humans and nature. All in all, the exhibition as a hole invites the observer to reflect where berlin is now a days and where society is heading."
"27","Jyoti PohanekarFrankfurt (Oder), Deutschland","Berlin Global","The exhibition has innately depicted several instalments which speaks about the  capital city of Germany. Showcasing the topics of history, times of World War, struggle of different troops during the time, devastating effects of the war, developments in the lifestyle, culture and many more. Installations are put together in a manner that they are somewhat interactive and pretty intriguing at the same time. For instance, the voting system throughout the exhibition was quite appealing, one has to choose between two doors with some questions like - “I want to help the world” and “I want to help my community” in order to enter a new section.  Some serious issues like Racism and transgender identity had also a special place at this exhibition. The section where it had the DJ mixer was one of my favourite sections, it said about the kind of music Berliners are used to listening to.     The colonial past is portrayed with the help of different paintings on the walls, various topics like exploitation, slavery, harassment, inequality were described through these murals."
"28","Christoph Weiland","The grafitti at the beginning is very cool","When entering the exhibition on is greeted with a room where all the walls are covered in a huge graffiti. Different events and effects of colonialism are shown in different parts of the graffiti. The division of countries by longitude and latitude instead of existing cultural realities and the war and destruction that  this devisions lead to, the destruction of non european history and works of arts, the horrors of slave trade, and the justification of discriminatory policies by ""seintific"" means. It is worth to spend a lot of time in this room, there are a lot of noticable detail.The rest of the exhibition feels a little like an exhibition on Berlin, its history and current state.  I was hoping for more detail on the various ways Berlin is globally connected. These connections were in the exhibition, but a little hidden some personal stories  of people comming to or going from Berlin as well of a few examples like how our clothes are produced. Every person visiting the exhibition got a bracelet whit which one could make some decisions during the exhibition. Ad the end one could compare the personal decisions with that of other visitors. A cool idea, but sadly there were a lot of technical problems."
"29","Jonas","Inspiring, but I miss more depth","Berlin Global attempts to show ways in which the world is connected. The exhibition highlights challenges the world faces and that need to be viewed in a global perspective, because they affect many people beyond country borders. It makes visitors aware of these issues, and encourages us to think about them and exchange our thoughts with other people. The exhibition succeeds in providing input for such discussions, however I do miss more depth in the presentation of some of the different themes. But as a general introduction, it works really well. The exhibition has a high degree of interactivity, lots of artwork and information to read. If you want the full experience, you could easily spend at least two hours here.In the first room, visitors can observe a large mural depicting scenes of European conquest. The painting shows different aspects of the history of this, such as the subjugation of land and people, the division of these areas among colonial powers and the subsequent exploitation of native populations and areas. However, the painting also portrays the brothers Wilhelm and Alexander von Humboldt and their shared interest in topics concerning global interconnection and diversity, showing appreciation for the uniqueness of all cultures, which stands in contrast to the general sentiment of the colonial past, where European cultures were viewed as superior.At the beginning of the exhibition, you also have the opportunity to receive a chip wristband that you wear throughout your visit. This is supposed to provide additional interactivity as well as give you the opportunity to find out more about yourself and the choices you make. However, in the end, this turned out to be more confusing and distracting than useful, and did not add much to the experience for me."
"30","Rustambek Rustambekov","Diversity as a norm","I see the exhibition ""Berlin Global"" as an excellent opportunity to understand the connection between Berlin's past and present. What I really like about this exhibition is that it does not represent the point of view of only one ethnic or cultural group; instead, the ""Berlin Global"" exhibition allows you to learn how people from different backgrounds perceive their lives and events in a different way. As for the organisational part of the exhibition, it includes various ways of communicating the events of the past, including texts, videos, graphics, interactive activities and games.My first impression of Global Berlin came from the room called ""Weltdenken"". It is very beautiful, with graffiti on the walls, and this modern designed room tells us the story of colonisation. I think it is no coincidence that this room is the first one, because it shows us clearly that we have to be aware of the events that happened in the past. It also shows that Germany is linked to the events that happened during the time of colonisation, namely exploitation, discrimination, but also exploration of the world. I think one of the points is that people on both sides of the historical events perceive these events differently. While the early Europeans may have seen colonisation as a key to continued growth, the colonised countries experienced a lot of suffering and pain. Basically, I think this play wants to remind us of those events that happened before us, so that we don't take for granted what we have now, but that we also remember that history has evolved for us in different ways. Ethnic and cultural diversity is one way of seeing Berlin as a global place. The people of Berlin come from a variety of ethnic, cultural and religious backgrounds. These differences, which at some points in history were seen as a border, are now seen as a choice to which every individual is equally entitled. As an example, I remember a video in which three women are having a very friendly conversation. What is specific to this video is that these women believe in three different religions, namely Christianity, Islam and Judaism. Although they come from different places, they recognise that there is nothing wrong with being different and they also show a desire to learn more about each other's culture. In addition, there were several charts on the wall on topics such as religious practices, arts, politics, etc., which show historical trends in a chronological way. Here we can see many historical events that happened in the past. Specifically, I remember when the first hippie community appeared in 1967. What is interesting is that it shows the interconnection between world events and Berlin's relationship to them. We could also see on the graph when the first hippie communities developed later in Germany. Below you can see some of the pictures I made on these graphs."
