Dog breed,,category,,datadog score,POPULARITY IN US,POPULARITY IN US,"LIFETIME COST, $",5 LIFETIME COST,,1 INTELLIGENCE (TRAINABILITY) ranking,INTELLIGENCE (TRAINABILITY) ranking,2 LONGEVITY,LONGEVITY,3 NO. OF GENETIC AILMENTS,GENETIC AILMENTS,"4a average purchase price, US$","average purchase price, US$","4b food costs per year, US$","food costs per year, US$",5a grooming required ,grooming required ,5b suitability for children ,suitability for children ,,ULTIMATE TOP DOG MEGA SCORE (with kids),ULTIMATE TOP DATA DOG MEGA RANKING - without kids,ULTIMATE TOP DATA DOG MEGA RANKING - with kids,ULTIMATE TOP DOG MEGA SCORE,POPULAR RATING,,size category,weight (kg),weight (lbs),shoulder height (cm),shoulder height (in),,note,intelligence category,repetitions to understand new commands,obey first command (% of time),longevity sample size - survey sample size,GENETIC DISEASES - congenital ailments: summary / areas affected,congenital ailments: summary / areas affected,exclude?,most abandoned?,,"4 LIFETIME COST, $",4 LIFETIME COST,average purchase price (US $),price bracket,lowest (US$),highest (US$),"food per week, average, £","min, £","max, £","food per week, $","food per year, $","food per lifetime, $",,"Other regular costs, total per lifetime, $","total  per year, $","total, per year, £","toys, presents, treats, per year, £","pet sitters, per year, £","grooming, per year, £","vet fees per year, £","kennels per year, £","one offs, $"
Yorkshire Terrier,,toy,,2.85,5,5,"$20,701",39%,,27,75%,12.60,84%,4,56%,"$1,057",23%,$324,68%,1,50%,3,0%,,3.10,32,69,2.85,5,,small,2,5.5,no data,no data,,,Above average,15-25,>70,63,"knee, liver, trachea, eye disorders","Patellar luxation, Portosystemic shunt, tracheal collapse, Retinal dysplasia",,,,"17,944",38%,"1,057",mid-price,275,2800,4,4,4,5.34,278,"3,508",,"13,179","1,046",784,121,126,244,177,116,200
Irish Setter,,sporting,,2.84,70,56,"$20,323",45%,,35,61%,11.63,53%,2,78%,$525,86%,$466,23%,2,75%,1,100%,,4.21,33,17,2.84,70,,large,29,65,66,26,,,Above average,15-25,>70,922,"hip, eye problems","Hip dysplasia, Progressive retinal atrophy",,,,"17,544",45%,525,budget,300,1000,5.75,4,7.5,7.67,400,"4,655",,"12,164","1,046",784,121,126,244,177,116,200
Pharaoh Hound,,hound,,2.81,151,86,"$21,047",33%,,37,56%,11.83,57%,0,100%,$913,37%,$466,23%,2,75%,2,50%,,3.69,34,47,2.81,151,,medium,no data,no data,58,23,,price: 6 puppies for sale only,Above average,15-25,>70,15,none,none,,,,"18,221",33%,913,mid-price,475,1000,5.75,4,7.5,7.67,400,"4,735",,"12,374","1,046",784,121,126,244,177,116,200
Brussels Griffon,,toy,,2.8,77,59,"$19,551",57%,,59,25%,12.00,61%,0,100%,$833,45%,$324,68%,2,75%,3,0%,,3.18,36,66,2.80,77,,small,4,9,no data,no data,,,Fair,40-80,>30,71,none,none,,,,"16,925",56%,833,mid-price,500,1500,4,4,4,5.34,278,"3,341",,"12,551","1,046",784,121,126,244,177,116,200
Golden Retriever,,sporting,,2.8,4,4,"$21,447",29%,,4,97%,12.04,63%,4,56%,$958,31%,$466,23%,2,75%,1,100%,,4.17,37,20,2.80,4,,medium,27,60,58,22.75,,,Brightest,<5,>95,1314,"elbows, hips, eyes, heart ","elbow dysplasia, hip dysplasia, retinal dysplasia, subaortic stenosis",,,,"18,571",28%,958,mid-price,325,2500,5.75,4,7.5,7.67,400,"4,819",,"12,593","1,046",784,121,126,244,177,116,200
Samoyed,,working,,2.8,69,55,"$25,352",6%,,33,68%,12.44,76%,1,89%,"$1,162",15%,$710,6%,2,75%,1,100%,,4.18,35,18,2.80,69,,medium,no data,no data,54,21.25,,,Above average,15-25,>70,232,hip problems,hip dysplasia,,,,"21,951",3%,"1,162",mid-price,795,1400,8.75,7.5,10,11.67,609,"7,577",,"13,012","1,046",784,121,126,244,177,116,200
Beagle,,hound,,2.79,3,3,"$19,468",59%,,73,9%,12.30,72%,1,89%,$288,100%,$324,68%,1,50%,1,100%,,4.04,38,28,2.79,3,,small,no data,no data,36,14,,,Lowest,80-100,<25,303,heart problems,Pulmonic stenosis,,,,"16,777",59%,288,budget,100,600,4,4,4,5.34,278,"3,425",,"12,865","1,046",784,121,126,244,177,116,200
Chesapeake Bay Retriever,,sporting,,2.78,46,40,"$16,697",84%,,27,75%,9.48,22%,1,89%,$522,87%,$466,23%,2,75%,1,100%,,4.16,39,21,2.78,46,,large,31,67.5,60,23.5,,,Above average,15-25,>70,776,hip problems,hip dysplasia,,,,"14,432",84%,522,budget,175,795,5.75,4,7.5,7.67,400,"3,794",,"9,916","1,046",784,121,126,244,177,116,200
Tibetan Terrier,,non-sporting,,2.75,86,64,"$20,336",44%,,62,22%,12.31,74%,0,100%,"$1,140",17%,$324,68%,2,75%,2,50%,,3.63,40,51,2.75,86,,small,11,24,39,15.5,,,Fair,40-80,>30,102,none,none,,,,"17,643",41%,"1,140",mid-price,450,1600,4,4,4,5.34,278,"3,428",,"12,876","1,046",784,121,126,244,177,116,200
Gordon Setter,,sporting,,2.73,94,69,"$19,605",56%,,34,64%,11.10,41%,1,89%,$700,59%,$466,23%,2,75%,1,100%,,4.10,41,23,2.73,94,,large,28,62.5,64,25,,3 dogs only,Above average,15-25,>70,169,hip problems,hip dysplasia,,,,"16,953",55%,700,mid-price,500,100,5.75,4,7.5,7.67,400,"4,443",,"11,610","1,046",784,121,126,244,177,116,200
English Setter,,sporting,,2.72,87,65,"$20,312",46%,,37,56%,11.57,52%,2,78%,$615,74%,$466,23%,2,75%,1,100%,,4.09,43,25,2.72,87,,large,no data,no data,62,24.5,,,Above average,15-25,>70,402,"deafness, hip problems","deafness, hip dysplasia",,,,"17,548",44%,615,budget,250,1000,5.75,4,7.5,7.67,400,"4,631",,"12,102","1,046",784,121,126,244,177,116,200
Pug,,toy,,2.72,26,26,"$18,527",68%,,57,29%,11.00,39%,1,89%,$469,92%,$405,63%,2,75%,1,100%,,4.09,42,24,2.72,26,,medium,7,16,41,16,,,Fair,40-80,>30,163,'dry eye',"Keratoconjunctivitis sicca (KCS) - ""dry eye""",,,,"15,421",76%,469,budget,250,699,-,-,-,6,295,"3,246",,"11,505","1,046",784,121,126,244,177,116,200
Briard,,herding,,2.71,125,79,"$19,673",55%,,30,70%,11.17,43%,1,89%,$650,67%,$466,23%,1,50%,1,100%,,3.96,44,33,2.71,125,,large,no data,no data,62,24.5,,Only 2 puppies for sale,Above average,15-25,>70,71,hip problems,hip dysplasia,,,,"17,004",54%,650,budget,500,800,5.75,4,7.5,7.67,400,"4,471",,"11,683","1,046",784,121,126,244,177,116,200
Norfolk Terrier,,terrier,,2.71,120,76,"$24,308",10%,,56,30%,13.07,91%,0,100%,"$2,083",2%,$466,23%,2,75%,2,50%,,3.58,45,53,2.71,120,,small,5,12,24,9.5,,price: 9 puppies only,Fair,40-80,>30,324,none,none,,,,"21,185",7%,"2,083",high-end,250,2500,5.75,4,7.5,7.67,400,"5,231",,"13,671","1,046",784,121,126,244,177,116,200
Flat-Coated Retriever,,sporting,,2.7,90,67,"$16,000",90%,,18,82%,9.02,14%,0,100%,$600,77%,$466,23%,1,50%,1,100%,,3.95,46,34,2.70,90,,medium,no data,no data,59,23.25,,Price: 3 dogs only,Excellent,5-15,>85,1198,none,none,,,,"13,845",90%,600,budget,300,1200,5.75,4,7.5,7.67,400,"3,610",,"9,434","1,046",784,121,126,244,177,116,200
Boston Terrier,,non-sporting,,2.61,22,22,"$17,741",77%,,54,31%,10.92,38%,1,89%,$690,63%,$324,68%,2,75%,1,100%,,3.98,47,32,2.61,22,,medium,NA (3 classes),NA (3 classes),no data,no data,,,Average,25-40,>50,42,breathing problems,brachycephalic syndrome,,,,"15,352",77%,690,budget,400,1050,4,4,4,5.34,278,"3,041",,"11,422","1,046",784,121,126,244,177,116,200
Doberman Pinscher,,working,,2.59,13,13,"$18,397",71%,,5,95%,10.33,32%,4,56%,$790,54%,$466,23%,2,75%,2,50%,,3.47,49,57,2.59,13,,large,no data,no data,66,26,,,Brightest,<5,>95,201,"heart, spine, blood clotting disorders","Dilated cardiomyopathy, Cervical vertebral instability (Wobbler syndrome), Intervertebral disk disease, von Willebrand's disease",,,,"15,929",70%,790,mid-price,300,1200,5.75,4,7.5,7.67,400,"4,135",,"10,805","1,046",784,121,126,244,177,116,200
English Toy Spaniel,,toy,,2.59,129,80,"$17,521",79%,,45,45%,10.10,29%,0,100%,$925,33%,$405,63%,2,75%,2,50%,,3.47,48,56,2.59,129,,small,5,11,25,10,,,Average,25-40,>50,22,none,none,,,,"14,670",83%,925,mid-price,150,1500,-,-,-,6,295,"2,981",,"10,564","1,046",784,121,126,244,177,116,200
Belgian Tervuren,,herding,,2.57,108,72,"$19,132",61%,,14,85%,10.60,34%,2,78%,"$1,070",21%,$466,23%,2,75%,1,100%,,3.94,52,38,2.57,108,,large,no data,no data,61,24,,,Excellent,5-15,>85,105,"epilepsy, eye problems","Idiopathic epilepsy, Pannus - chronic superficial keratitis",,,,"16,600",61%,"1,070",mid-price,850,1200,5.75,4,7.5,7.67,400,"4,243",,"11,087","1,046",784,121,126,244,177,116,200
Cavalier King Charles Spaniel,,toy,,2.57,21,21,"$18,639",67%,,44,48%,11.29,46%,2,78%,"$1,017",28%,$324,68%,2,75%,1,100%,,3.95,50,35,2.57,21,,small,7,15.5,32,12.5,,,Average,25-40,>50,829,"heart, spinal problems","Mitral valve dysplasia, Chiari-like malformation (CM) and syringomyelia (SM)",,,,"16,169",66%,"1,017",mid-price,100,1800,4,4,4,5.34,278,"3,144",,"11,809","1,046",784,121,126,244,177,116,200
Dalmatian,,non-sporting,,2.57,73,57,"$19,886",53%,,39,55%,11.27,45%,2,78%,$695,61%,$466,23%,2,75%,1,100%,,3.95,50,35,2.57,73,,medium,no data,no data,53,21,,,Above average,15-25,>70,404,"deafness, urinary stones","Deafness, Urolithiasis (stones)",,,,"17,194",52%,695,budget,350,1000,5.75,4,7.5,7.67,400,"4,511",,"11,788","1,046",784,121,126,244,177,116,200
Basset Hound,,hound,,2.54,41,36,"$18,328",74%,,71,11%,11.43,48%,2,78%,$490,91%,$324,68%,2,75%,1,100%,,3.92,53,39,2.54,41,,small,no data,no data,36,14,,,Lowest,80-100,<25,152,"blood, skin disorders","Platelet dysfunction (thrombocytopathia, Basset hound thrombopathia), seborrhea",,,,"15,827",72%,490,budget,150,1000,4,4,4,5.34,278,"3,183",,"11,955","1,046",784,121,126,244,177,116,200
Basenji,,hound,,2.51,93,68,"$22,096",18%,,79,2%,13.58,94%,3,67%,$940,32%,$324,68%,2,75%,2,50%,,3.38,54,59,2.51,93,,medium,10,23,42,16.5,,,Lowest,80-100,<25,46,"kidney, eye problems, anaemia","Fanconi syndrome, Persistent pupillary membranes (PPM), Pyruvate kinase (PK) deficiency",,,,"19,125",18%,940,mid-price,600,1200,4,4,4,5.34,278,"3,781",,"14,204","1,046",784,121,126,244,177,116,200
Italian Greyhound,,toy,,2.49,65,53,"$16,463",86%,,60,24%,10.02,28%,0,100%,$800,52%,$324,68%,2,75%,3,0%,,2.86,55,77,2.49,65,,small,no data,no data,36,14,,,Fair,40-80,>30,203,none,none,,,,"14,270",86%,800,mid-price,500,120,4,4,4,5.34,278,"2,790",,"10,480","1,046",784,121,126,244,177,116,200
Staffordshire Bull Terrier,,terrier,,2.48,76,58,"$21,650",25%,,49,37%,12.05,66%,1,89%,"$1,145",16%,$466,23%,2,75%,1,100%,,3.86,56,41,2.48,76,,medium,14,31,38,15,,,Average,25-40,>50,157,hip problems,hip dysplasia,,,,"18,772",25%,"1,145",mid-price,500,1500,5.75,4,7.5,7.67,400,"4,823",,"12,604","1,046",784,121,126,244,177,116,200
Bouvier des Flandres,,herding,,2.47,83,62,"$18,959",64%,,29,72%,10.34,33%,1,89%,"$1,335",6%,$466,23%,2,75%,1,100%,,3.84,57,42,2.47,83,,large,no data,no data,65,25.5,,,Above average,15-25,>70,1079,hip problems,hip dysplasia,,,,"16,489",62%,"1,335",mid-price,800,2500,5.75,4,7.5,7.67,400,"4,139",,"10,815","1,046",784,121,126,244,177,116,200
